Marca temporal,Edat:,Gènere:,Quina relació tens amb la persona diagnosticada?,En quin moment del procés oncològic es troba actualment?,"Quan vas conèixer el diagnòstic, vas rebre informació o orientació sobre com gestionar emocionalment la situació?","Si vas rebre suport per altres persones o entitats, quines són?",Com valores el suport emocional o psicològic que has rebut durant el procés?,Quins aspectes consideres que han estat o són més difícils d'afrontar durant el procés?,"Has sentit en algun moment la necessitat de rebre ajuda professional (psicòleg/a, grup de suport, etc.) per gestionar la situació?","Si has necessitat ajuda o recursos, consideres que aquests han estat fàcilment accessibles per a tu?","Si en tens, quins recursos o estratègies t'han ajudat més a gestionar emocionalment la situació?","Consideres que una guia psicoeducativa per a familiars de pacients amb càncer, lliurada a l'inici del tractament, podria ser útil?",Quina informació o orientació t'hauria ajudat tenir des de l'inici del procés?,"Quins temes consideres més útils per incloure en una guia per a familiars?
(Marca de 3 a 5 opcions)",Vols afegir algun comentari o suggeriment?
7/01/2026 11:35:39,53,Dona,Familiar proper,Controls posteriors a la superació de la malaltia,No,,1,El diagnòstic. No saps com acompanyar a la persona i penso que és la fase més complicada perquè suposa un xoc ,No,Sí,Buscant informació sobre el procés ,Sí,Saber clarament on estàs i quin és el camí a seguir ,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social)",
30/12/2025 1:45:47,23,Home,Fill/a,Controls posteriors a la superació de la malaltia,No,,4,La pèrdua de vitalitat de la persona.,No,Sí,Parlar amb els amics i la família.,Sí,Ns.,"Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a",
7/01/2026 10:38:02,58,Dona,Fill/a,Controls posteriors a la superació de la malaltia,"Sí, per part dels professionals de la salut",Tot va ser a l' hospital.,5,Que no saps quant pasara tot.,Sí,Sí,Parlar amb la Spicologa.,Sí,A nosaltres per sort és van dir desde un principi tot molt clar.,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com afrontar la por, la tristesa o la incertesa",No.
7/01/2026 15:13:44,68,Dona,Fill/a,Controls posteriors a la superació de la malaltia,No,Otras personas ,3,El no saber qué pasará. ,No,Sí,Me ayudaba mucho cómo era la actitud de mi hija.,Sí,Siempre nos han informado bien.,"Com afrontar la por, la tristesa o la incertesa",
7/01/2026 10:19:36,70,Dona,Fill/a,Controls posteriors a la superació de la malaltia,No,"No tuve ayuda, no la busque",1,"La incertidumbre, de la enfermedad ",Sí,Sí,Si me ha ayudado ,Sí,"Aunque pensemos que no necesitamos ayuda, creo que sería necesario que te la ofrecieran!!","Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social)",
12/01/2026 15:28:30,16,Dona,Germà/na,Controls posteriors a la superació de la malaltia,"Sí, per altres persones / entitats",Família,4,Acompanyar a les quimios i veure a la persona en el seu pitjor estat.,No,Sí,,Sí,.,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",
8/01/2026 20:37:04,53,Dona,Jo mateix,Controls posteriors a la superació de la malaltia,"Sí, per part dels professionals de la salut",Associació Espanyola contra el càncer ,4,Incertesa i por,Sí,Sí,Psicooncologia ,Sí,Orientació amb gent que ja hagués passat per la malaltia,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",Agraïr el suport dels professionals sanitaris 
8/01/2026 20:08:58,53,Dona,Jo mateix,Controls posteriors a la superació de la malaltia,No,Psicòleg,4,El després del tractament ,Sí,No,Públics no. Privat ,Sí,Com tractar al pacient,"Com gestionar les emocions i l'estrès, Signes d'alerta de sobrecàrrega emocional",
7/01/2026 19:51:42,71,Dona,Jo mateix,Controls posteriors a la superació de la malaltia,No,No,3,Dias posteriors a la quimio.,Sí,No,Jo mateixa(força),Sí,Més informació. Que m'he escoltesin,"Com gestionar les emocions i l'estrès, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",Necessitem que ens escoltin
7/01/2026 12:36:25,40,Dona,Jo mateix,Controls posteriors a la superació de la malaltia,"Sí, per altres persones / entitats",Maresme Oncologic y fundación española contra el cáncer.,5,La incertidumbre ,Sí,Sí,Maresme oncologic,Sí,"Hubiese sido interesante saber un poco por encima que todo lo que he vivido a nivel emocional es algo general por todos los pacientes. Además, me hubiese gustado leer que iba a tener que trabajarme la paciencia porque la sociedad no está educada en cuanto a la enfermedad y dicen, preguntan, afirman, aconsejan cosas que les enviarías bien lejos.","Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Recursos de suport (psicològic i/o social)",
